Iteration, Throughput, GoSAgg, GoSSep
572, 83600, 836, 836
573, 83600, 836, 836
574, 83600, 836, 836
575, 83600, 836, 836
576, 83600, 836, 836
577, 83600, 836, 836
578, 83500, 835, 835
579, 83500, 835, 835
580, 83500, 835, 835
581, 83500, 835, 835
582, 83500, 835, 835
583, 83500, 835, 835
584, 83500, 835, 835
585, 83500, 835, 835
586, 83500, 835, 835
587, 83500, 835, 835
588, 83500, 835, 835
589, 83500, 835, 835
590, 83500, 835, 835
591, 83500, 835, 835
592, 83500, 835, 835
593, 83500, 835, 835
594, 83500, 835, 835
595, 83500, 835, 835
596, 83500, 835, 835
597, 83500, 835, 835
598, 83500, 835, 835
599, 83500, 835, 835
600, 83500, 835, 835
601, 83500, 835, 835
602, 83500, 835, 835
603, 83500, 835, 835
604, 83500, 835, 835
605, 83500, 835, 835
606, 83500, 835, 835
607, 83500, 835, 835
608, 83500, 835, 835
609, 83500, 835, 835
610, 83500, 835, 835
611, 83500, 835, 835
612, 83500, 835, 835
613, 83500, 835, 835
614, 83500, 835, 835
615, 83500, 835, 835
616, 83500, 835, 835
617, 83500, 835, 835
618, 83500, 835, 835
619, 83500, 835, 835
620, 83500, 835, 835
621, 83500, 835, 835
622, 83500, 835, 835
623, 83500, 835, 835
624, 83500, 835, 835
625, 83500, 835, 835
626, 83500, 835, 835
627, 83500, 835, 835
628, 83500, 835, 835
629, 83500, 835, 835
630, 83500, 835, 835
631, 83500, 835, 835
632, 83500, 835, 835
633, 83500, 835, 835
634, 83500, 835, 835
635, 83500, 835, 835
636, 83500, 835, 835
637, 83500, 835, 835
638, 83500, 835, 835
639, 83500, 835, 835
640, 83500, 835, 835
641, 83500, 835, 835
642, 83600, 836, 836
643, 83500, 835, 835
644, 83600, 836, 836
645, 83600, 836, 836
646, 83600, 836, 836
647, 83600, 836, 836
648, 83600, 836, 836
649, 83600, 836, 836
650, 83600, 836, 836
651, 83600, 836, 836
652, 83600, 836, 836
653, 83600, 836, 836
654, 83600, 836, 836
655, 83600, 836, 836
656, 83600, 836, 836
657, 83600, 836, 836
658, 83600, 836, 836
659, 83600, 836, 836
660, 83600, 836, 836
661, 83600, 836, 836
662, 83600, 836, 836
663, 83600, 836, 836
664, 83600, 836, 836
665, 83600, 836, 836
666, 83600, 836, 836
667, 83600, 836, 836
668, 83600, 836, 836
669, 83600, 836, 836
670, 83600, 836, 836
671, 83600, 836, 836
672, 83600, 836, 836
673, 83600, 836, 836
674, 83600, 836, 836
675, 83600, 836, 836
676, 83600, 836, 836
677, 83600, 836, 836
678, 83600, 836, 836
679, 83600, 836, 836
680, 83600, 836, 836
681, 83600, 836, 836
682, 83600, 836, 836
683, 83600, 836, 836
684, 83600, 836, 836
685, 83600, 836, 836
686, 83600, 836, 836
687, 83600, 836, 836
688, 83600, 836, 836
689, 83600, 836, 836
690, 83600, 836, 836
691, 83600, 836, 836
692, 83600, 836, 836
693, 83600, 836, 836
694, 83600, 836, 836
695, 83600, 836, 836
696, 83600, 836, 836
697, 83600, 836, 836
698, 83600, 836, 836
699, 83600, 836, 836
700, 83600, 836, 836
701, 83600, 836, 836
702, 83600, 836, 836
703, 83600, 836, 836
704, 83600, 836, 836
705, 83600, 836, 836
706, 83600, 836, 836
707, 83500, 835, 835
708, 83500, 835, 835
709, 83500, 835, 835
710, 83500, 835, 835
711, 83500, 835, 835
712, 83500, 835, 835
713, 83500, 835, 835
714, 83500, 835, 835
715, 83500, 835, 835
716, 83500, 835, 835
717, 83500, 835, 835
718, 83500, 835, 835
719, 83500, 835, 835
720, 83500, 835, 835
721, 83500, 835, 835
722, 83500, 835, 835
723, 83500, 835, 835
724, 83500, 835, 835
725, 83500, 835, 835
726, 83500, 835, 835
727, 83500, 835, 835
728, 83500, 835, 835
729, 83500, 835, 835
730, 83500, 835, 835
731, 83500, 835, 835
732, 83500, 835, 835
733, 83500, 835, 835
734, 83500, 835, 835
735, 83500, 835, 835
736, 83500, 835, 835
737, 83500, 835, 835
738, 83500, 835, 835
739, 83500, 835, 835
740, 83500, 835, 835
741, 83500, 835, 835
742, 83500, 835, 835
743, 83500, 835, 835
744, 83500, 835, 835
745, 83500, 835, 835
746, 83500, 835, 835
747, 83500, 835, 835
748, 83500, 835, 835
749, 83500, 835, 835
750, 83500, 835, 835
751, 83500, 835, 835
752, 83500, 835, 835
753, 83500, 835, 835
754, 83500, 835, 835
755, 83500, 835, 835
756, 83500, 835, 835
757, 83500, 835, 835
758, 83500, 835, 835
759, 83500, 835, 835
760, 83500, 835, 835
761, 83500, 835, 835
762, 83500, 835, 835
763, 83500, 835, 835
764, 83500, 835, 835
765, 83500, 835, 835
766, 83500, 835, 835
767, 83500, 835, 835
768, 83500, 835, 835
769, 83500, 835, 835
770, 83500, 835, 835
771, 83500, 835, 835
772, 83500, 835, 835
773, 83500, 835, 835
774, 83500, 835, 835
775, 83500, 835, 835
776, 83500, 835, 835
777, 83500, 835, 835
778, 83500, 835, 835
779, 83500, 835, 835
780, 83500, 835, 835
781, 83500, 835, 835
782, 83500, 835, 835
783, 83500, 835, 835
784, 83500, 835, 835
785, 83500, 835, 835
786, 83500, 835, 835
787, 83500, 835, 835
788, 83500, 835, 835
789, 83500, 835, 835
790, 83500, 835, 835
791, 83500, 835, 835
792, 83500, 835, 835
793, 83500, 835, 835
794, 83500, 835, 835
795, 83500, 835, 835
796, 83500, 835, 835
797, 83500, 835, 835
798, 83500, 835, 835
799, 83500, 835, 835
800, 83500, 835, 835
801, 83500, 835, 835
802, 83500, 835, 835
803, 83500, 835, 835
804, 83500, 835, 835
805, 83500, 835, 835
806, 83500, 835, 835
807, 83500, 835, 835
808, 83500, 835, 835
809, 83500, 835, 835
810, 83500, 835, 835
811, 83500, 835, 835
812, 83500, 835, 835
813, 83500, 835, 835
814, 83500, 835, 835
815, 83500, 835, 835
816, 83500, 835, 835
817, 83500, 835, 835
818, 83500, 835, 835
819, 83500, 835, 835
820, 83500, 835, 835
821, 83500, 835, 835
822, 83500, 835, 835
823, 83500, 835, 835
824, 83500, 835, 835
825, 83500, 835, 835
826, 83500, 835, 835
827, 83500, 835, 835
828, 83500, 835, 835
829, 83500, 835, 835
830, 83500, 835, 835
831, 83500, 835, 835
832, 83500, 835, 835
833, 83500, 835, 835
834, 83500, 835, 835
835, 83500, 835, 835
836, 83500, 835, 835
837, 83500, 835, 835
838, 83500, 835, 835
839, 83500, 835, 835
840, 83500, 835, 835
841, 83500, 835, 835
842, 83500, 835, 835
843, 83500, 835, 835
844, 83500, 835, 835
845, 83500, 835, 835
846, 83500, 835, 835
847, 83500, 835, 835
848, 83500, 835, 835
849, 83500, 835, 835
850, 83500, 835, 835
851, 83500, 835, 835
852, 83500, 835, 835
853, 83500, 835, 835
854, 83500, 835, 835
855, 83500, 835, 835
856, 83500, 835, 835
857, 83500, 835, 835
858, 83500, 835, 835
859, 83500, 835, 835
860, 83500, 835, 835
861, 83500, 835, 835
862, 83500, 835, 835
863, 83500, 835, 835
864, 83500, 835, 835
865, 83500, 835, 835
866, 83500, 835, 835
867, 83500, 835, 835
868, 83500, 835, 835
869, 83500, 835, 835
870, 83500, 835, 835
871, 83500, 835, 835
872, 83500, 835, 835
873, 83500, 835, 835
874, 83500, 835, 835
875, 83500, 835, 835
876, 83500, 835, 835
877, 83500, 835, 835
878, 83500, 835, 835
879, 83500, 835, 835
880, 83500, 835, 835
881, 83500, 835, 835
882, 83500, 835, 835
883, 83500, 835, 835
884, 83500, 835, 835
885, 83500, 835, 835
886, 83500, 835, 835
887, 83500, 835, 835
888, 83500, 835, 835
889, 83500, 835, 835
890, 83500, 835, 835
891, 83500, 835, 835
892, 83500, 835, 835
893, 83500, 835, 835
894, 83500, 835, 835
895, 83500, 835, 835
896, 83500, 835, 835
897, 83500, 835, 835
898, 83500, 835, 835
899, 83500, 835, 835
900, 83500, 835, 835
901, 83500, 835, 835
902, 83500, 835, 835
903, 83500, 835, 835
904, 83500, 835, 835
905, 83500, 835, 835
906, 83400, 834, 834
907, 83500, 835, 835
908, 83500, 835, 835
909, 83500, 835, 835
910, 83500, 835, 835
911, 83500, 835, 835
912, 83500, 835, 835
913, 83500, 835, 835
914, 83500, 835, 835
915, 83500, 835, 835
916, 83500, 835, 835
